model,true_label,predicted_label,text,clean_text,airline,negativereason,confidence
Word2Vec + BiLSTM Attention,negative,neutral,@SouthwestAir they put me on the next flight available.. tomorrow morning :( Any idea if BNA will be open in the morning for my flight?,usertoken they put me on the next flight available tomorrow morning any idea if bna will be open in the morning for my flight,Southwest,Cancelled Flight,0.6737
Word2Vec + BiLSTM Attention,negative,positive,@Jetblue Delay = Perfect time to learn Swift programming with @TeamTreehouse,usertoken delay perfect time to learn swift programming with usertoken,Delta,Late Flight,0.6419
Word2Vec + BiLSTM Attention,negative,neutral,@SouthwestAir wife's flight to DAL just got Cancelled Flightled. What does she do to find options to get back home?  1708 PHX-&gt;DAL,usertoken wife is flight to dal just got cancelled flightled what does she do to find options to get back home numbertoken phx dal,Southwest,Cancelled Flight,1.0
Word2Vec + BiLSTM Attention,negative,positive,"@united so, I made it all the way to the airport, and they say they won’t fix the handle. I showed you this problem, and you said to go…?",usertoken so i made it all the way to the airport and they say they wont fix the handle i showed you this problem and you said to go,United,Damaged Luggage,1.0
Word2Vec + BiLSTM Attention,negative,neutral,"Hey @USAirways based on the number of retweets and likes on my FB post, it's nice to know I'm not alone in my frustrations with you guys!",hey usertoken based on the number of retweets and likes on my fb post it is nice to know i am not alone in my frustrations with you guys,US Airways,Can't Tell,1.0
Word2Vec + BiLSTM Attention,negative,neutral,@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap,usertoken i did the ac went on for about numbertoken minutes before returning to the mojave desert pressurecooker heattrap,United,Bad Flight,1.0
Word2Vec + BiLSTM Attention,negative,positive,"@USAirways we can't afford the international change fees to rebook our trip so we wanted to go home, turns out we can't afford to go home.",usertoken we cannot afford the international change fees to rebook our trip so we wanted to go home turns out we cannot afford to go home,US Airways,Can't Tell,1.0
Word2Vec + BiLSTM Attention,neutral,positive,Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”,thx stand by usertoken usertoken i know it is frustrating and i do appreciate your patience while we try to get you on your way jh,United,,0.6631
Word2Vec + BiLSTM Attention,neutral,negative,@SouthwestAir IM NOT THO 😭😭💔💔💔💔💔💔💔,usertoken im not tho,Southwest,,1.0
Word2Vec + BiLSTM Attention,negative,neutral,"@AmericanAir seriously, all flights from Detroit to Dallas are Cancelled Flightled 2 days in a row. I want to get home &amp; see my wife &amp; kids.",usertoken seriously all flights from detroit to dallas are cancelled flightled numbertoken days in a row i want to get home see my wife kids,American,Cancelled Flight,1.0
Word2Vec + BiLSTM Attention,neutral,positive,"@AmericanAir Thank you, you too!",usertoken thank you you too,American,,0.6544
Word2Vec + BiLSTM Attention,negative,neutral,@JetBlue I just DM'd you!,usertoken i just dm would you,Delta,Lost Luggage,0.667
Word2Vec + BiLSTM Attention,neutral,negative,@AmericanAir how does one book a ticket online and put it on hold?  Does that require that I pay for the ticket?,usertoken how does one book a ticket online and put it on hold does that require that i pay for the ticket,American,,0.6613
Word2Vec + BiLSTM Attention,neutral,negative,@united Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?,usertoken flight numbertoken cmh to ord just arrived at gate next segment to yvr already boarding will they hold it,United,,1.0
Word2Vec + BiLSTM Attention,neutral,positive,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,usertoken can we make every vx plane with nerdbird why should austin be the only one getting nerd love,Virgin America,,0.6477
Word2Vec + BiLSTM Attention,negative,neutral,@SouthwestAir flight # 317,usertoken flight numbertoken,Southwest,Late Flight,0.6713
Word2Vec + BiLSTM Attention,neutral,negative,@united - Kids left a kindle fire HD 6 onboard UA1037 (ORD-SFO) today. Row 9ABC-DEF (we had the whole row amongst the 5 of us).  Help...,usertoken kids left a kindle fire hd numbertoken onboard ua numbertoken ord sfo today row numbertoken abc def we had the whole row amongst the numbertoken of us help,United,,0.6815
Word2Vec + BiLSTM Attention,negative,positive,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you.",usertoken rarely ceases to amaze for the worse i hope this is the last time i have to fly with you,United,Can't Tell,1.0
Word2Vec + BiLSTM Attention,positive,neutral,@SouthwestAir telling my Fam in Vegas now. :),usertoken telling my fam in vegas now,Southwest,,0.6481
Word2Vec + BiLSTM Attention,neutral,positive,"@united Alright, thank you. Is there a page that says the routes you have for each aircraft? Specifically the 787.",usertoken alright thank you is there a page that says the routes you have for each aircraft specifically the numbertoken,United,,1.0
Word2Vec + BiLSTM Attention,negative,neutral,@AmericanAir @robinreda that can be a stop over before Paris. You are an embarrassment,usertoken usertoken that can be a stop over before paris you are an embarrassment,American,Late Flight,1.0
